模型名称：数据导出
合约名称：IF当月  
测试时间：2014-05-23 -- 2014-07-04
测试周期：1分钟
测试模式：实战模式
开仓时使用的资金比率：100%
最大开仓手数：1000
保证金比率：1%
单位：300元/点
手续费：0.00‰
----------------------------------
  测试天数：		42		  测试周期数：	8000
  指令总数：		8000		  平均交易周期：1
  初始资金：		100000		  最终权益：	87995
  总收益率(盈利/初始资金)：	-12.00%	  盈利：	-12004.69
  扣除最大盈利后收益率：	-16.20%
  扣除最大亏损后收益率：	-9.54%

  可靠性(胜率)：	55.44%		  成交额：	10313324544
  期望收益(平均R乘数)：	0.00R		  总手续费：	0

  总交易次数：		8000		
  盈利次数比例：	44.57%		  亏损次数比例：	44.55%
  平均利润率：		-0.00%		  平均每次盈利：	-2
  标准离差率：		-20281.4%		  标准离差：		304.33
  多头次数：		4000		  空头次数：		3999
  多头盈利次数：	1757		  空头盈利次数：	1809

  盈利次数：		3566		  亏损次数：	3564
  总盈利：		842226(842.23%)	  总亏损：	-854231(-854.23%)
  平均盈利率：		264(0.26%)	  平均亏损率：	-267(-0.27%)
  最大盈利额：		4200(4.48%)	  最大亏损额：	-2460(-2.68%)
  平均盈利周期：	1		  平均亏损周期：	1
  最大盈利周期：	1		  最大亏损周期：	1
  最大连续盈利次数：	12		  最大连续亏损次数：	10
  最大连续盈利：	4620(5.39%)	  最大连续亏损：	-4200(-4.56%)

  空仓总时间：		0		  最长空仓时间：	0
  空仓时间/总时间：	0.00%


开仓时间	开仓价格	交易类型	平仓时间	平仓价格	手数	手续费	盈利	扣除手续费后盈利	总资金	平仓类型
20140523 13:53	2128.0	空头	20140523 13:54	2129.0	1	0.00	-300	-300.0	98679.7	正常
20140523 13:54	2129.0	多头	20140523 13:55	2128.2	1	0.00	-240	-240.0	98439.7	正常
20140523 13:55	2128.2	空头	20140523 13:56	2126.6	1	0.00	480	480.0	98919.7	正常
20140523 13:56	2126.6	多头	20140523 13:57	2128.0	1	0.00	420	420.0	99339.6	正常
20140523 13:57	2128.0	空头	20140523 13:58	2130.8	1	0.00	-840	-840.0	98499.6	正常
20140523 13:58	2130.8	多头	20140523 13:59	2132.2	1	0.00	420	420.0	98919.6	正常
20140523 13:59	2132.2	空头	20140523 14:00	2130.0	1	0.00	660	660.0	99579.6	正常
20140523 14:00	2130.0	多头	20140523 14:01	2130.6	1	0.00	180	180.0	99759.6	正常
20140523 14:01	2130.6	空头	20140523 14:02	2132.8	1	0.00	-660	-660.0	99099.6	正常
20140523 14:02	2132.8	多头	20140523 14:03	2133.4	1	0.00	180	180.0	99279.6	正常
20140523 14:03	2133.4	空头	20140523 14:04	2133.0	1	0.00	120	120.0	99399.5	正常
20140523 14:04	2133.0	多头	20140523 14:05	2130.8	1	0.00	-660	-660.0	98739.5	正常
20140523 14:05	2130.8	空头	20140523 14:06	2130.4	1	0.00	120	120.0	98859.6	正常
20140523 14:06	2130.4	多头	20140523 14:07	2129.2	1	0.00	-360	-360.0	98499.6	正常
20140523 14:07	2129.2	空头	20140523 14:08	2131.6	1	0.00	-720	-720.0	97779.6	正常
20140523 14:08	2131.6	多头	20140523 14:09	2133.4	1	0.00	540	539.9	98319.5	正常
